district,covid case
Bagerhat,544
Bandarban,507
Barguna,511
Barishal,1686
Bhola,487
Bogura,4555
Brahmanbaria,1509
Chandpur,1683
Chapai Nawabganj,416
Chattogram,13503
Chuadanga,518
Cumilla,4167
Coxs Bazar,3158
Dhaka,52178
Dinajpur,1308
Faridpur,4423
Feni,1029
Gaibandha,578
Gazipur,4039
Gopalganj,1374
Habiganj,1055
Jamalpur,768
Jashore,1631
Jhalokati,242
Jhenaidah,816
Joypurhat,665
Khagrachhari,414
Khulna,4063
Kishoreganj,1947
Kurigram,377
Kushtia,1414
Lakshmipur,1311
Lalmonirhat,294
Madaripur,1112
Magura,396
Manikganj,840
Maulvibazar,839
Meherpur,151
Munshiganj,2503
Mymensingh,2052
Naogaon,921
Narail,655
Narayanganj,5811
Narsingdi,1848
Natore,397
Netrakona,600
Nilphamari,600
Noakhali,2989
Pabna,822
Panchagarh,233
Patuakhali,905
Pirojpur,218
Rajbari,1071
Rajshahi,2751
Rangamati,511
Rangpur,1539
Satkhira,661
Shariatpur,991
Sherpur,267
Sirajganj,1294
Sunamganj,1278
Sylhet,3787
Tangail,1463
Thakurgaon,301